TIME,VALUE
1703523626480,0
1703523626500,0
1703523626520,0
1703523626540,0
1703523626560,0
1703523626580,0
1703523626600,0
1703523626620,0
1703523626640,0
1703523626660,0
1703523626680,0
1703523626700,0
1703523626720,0
1703523626740,0
1703523626760,0
1703523626780,0
1703523626800,0
1703523626820,0
1703523626840,0
1703523626860,0
1703523626880,0
1703523626900,0
1703523626920,0
1703523626940,0
1703523626960,0
1703523626980,0
1703523627000,0
1703523627020,0
1703523627040,0
1703523627060,0
1703523627080,0
1703523627100,0
1703523627120,0
1703523627140,0
1703523627160,0
1703523627180,0
1703523627200,0
1703523627220,0
1703523627240,0
1703523627260,0
1703523627280,0
1703523627300,0
1703523627320,0
1703523627340,0
1703523627360,0
1703523627380,0
1703523627400,0
1703523627420,0
1703523627440,0
1703523627460,0
1703523627480,4
1703523627500,5
1703523627520,39
1703523627540,25
1703523627560,39
1703523627580,143
1703523627600,17
1703523627620,5
1703523627640,11
1703523627660,39
1703523627680,85
1703523627700,89
1703523627720,109
1703523627740,112
1703523627760,121
1703523627780,160
1703523627800,124
1703523627820,135
1703523627840,105
1703523627860,116
1703523627880,179
1703523627900,211
1703523627920,153
1703523627940,535
1703523627960,208
1703523627980,178
1703523628000,282
1703523628020,446
1703523628040,375
1703523628060,336
1703523628080,371
1703523628100,402
1703523628120,431
1703523628140,470
1703523628160,496
1703523628180,531
1703523628200,958
1703523628220,733
1703523628240,715
1703523628260,831
1703523628280,1117
1703523628300,1002
1703523628320,1601
1703523628340,1160
1703523628360,987
1703523628380,1161
1703523628400,1746
1703523628420,1366
1703523628440,1375
1703523628460,1431
1703523628480,1292
1703523628500,1345
1703523628520,1725
1703523628540,1595
1703523628560,1661
1703523628580,1698
1703523628600,1808
1703523628620,1763
1703523628640,1869
1703523628660,1855
1703523628680,1860
1703523628700,1890
1703523628720,1891
1703523628740,1934
1703523628760,1923
1703523628780,1998
1703523628800,2040
1703523628820,1991
1703523628840,2013
1703523628860,1895
1703523628880,2034
1703523628900,2058
1703523628920,2063
1703523628940,2070
1703523628960,1900
1703523628980,2065
1703523629000,1936
1703523629020,1867
1703523629040,1971
1703523629060,1987
1703523629080,1984
1703523629100,1914
1703523629120,1815
1703523629140,1845
1703523629160,1879
1703523629180,1859
1703523629200,1856
1703523629220,1712
1703523629240,1467
1703523629260,1479
1703523629280,1489
1703523629300,1461
1703523629320,1456
1703523629340,1433
1703523629360,1424
1703523629380,1424
1703523629400,1407
1703523629420,1593
1703523629440,1283
1703523629460,1348
1703523629480,1345
1703523629500,1360
1703523629520,1319
1703523629540,1351
1703523629560,1315
1703523629580,1343
1703523629600,1317
1703523629620,1155
1703523629640,1135
1703523629660,1266
1703523629680,1251
1703523629700,1232
1703523629720,1182
1703523629740,1201
1703523629760,1199
1703523629780,1110
1703523629800,1149
1703523629820,1136
1703523629840,635
1703523629860,1053
1703523629880,1077
1703523629900,790
1703523629920,704
1703523629940,604
1703523629960,626
1703523629980,688
1703523630000,704
1703523630020,258
1703523630040,341
1703523630060,509
1703523630080,507
1703523630100,701
1703523630120,700
1703523630140,651
1703523630160,656
1703523630180,632
1703523630200,626
1703523630220,591
1703523630240,0
1703523630260,0
1703523630280,0
1703523630300,0
1703523630320,0
1703523630340,0
1703523630360,379
1703523630380,397
1703523630400,346
1703523630420,336
1703523630440,0
1703523630460,0
1703523630480,0
1703523630500,0
1703523630520,0
1703523630540,0
1703523630560,0
1703523630580,0
1703523630600,0
1703523630620,0
1703523630640,0
1703523630660,0
1703523630680,0
1703523630700,0
1703523630720,0
1703523630740,0
1703523630760,0
1703523630780,0
1703523630800,0
1703523630820,0
1703523630840,0
1703523630860,0
1703523630880,0
1703523630900,0
1703523630920,0
1703523630940,0
1703523630960,0
1703523630980,0
1703523631000,0
1703523631020,0
1703523631040,0
1703523631060,0
1703523631080,0
1703523631100,0
1703523631120,0
1703523631140,0
1703523631160,0
1703523631180,0
1703523631200,0
1703523631220,0
1703523631240,0
1703523631260,0
1703523631280,0
1703523631300,0
1703523631320,0
1703523631340,0
1703523631360,0
1703523631380,0
1703523631400,0
1703523631420,0
1703523631440,0
1703523631460,0
1703523631480,0
1703523631500,0
1703523631520,0
1703523631540,0
1703523631560,0
1703523631580,0
1703523631600,0
1703523631620,0
1703523631640,0
1703523631660,0
1703523631680,0
1703523631700,0
1703523631720,0
1703523631740,0
1703523631760,0
1703523631780,0
1703523631800,0
1703523631820,0
1703523631840,0
1703523631860,0
1703523631880,0
1703523631900,0
1703523631920,0
1703523631940,0
1703523631960,0
1703523631980,0
1703523632000,0
1703523632020,0
1703523632040,0
1703523632060,0
1703523632080,0
1703523632100,0
1703523632120,0
1703523632140,0
1703523632160,0
1703523632180,0
1703523632200,0
1703523632220,0
1703523632240,0
1703523632260,0
1703523632280,0
1703523632300,0
1703523632320,0
1703523632340,0
1703523632360,0
1703523632380,0
1703523632400,0
1703523632420,0
1703523632440,0
1703523632460,0
1703523632480,0
1703523632500,0
1703523632520,0
1703523632540,0
1703523632560,0
1703523632580,0
1703523632600,0
1703523632620,0
1703523632640,0
1703523632660,0
1703523632680,0
1703523632700,0
1703523632720,0
1703523632740,0
1703523632760,0
1703523632780,0
1703523632800,0
1703523632820,0
1703523632840,0
1703523632860,0
1703523632880,0
1703523632900,0
1703523632920,0
1703523632940,0
1703523632960,0
1703523632980,0
1703523633000,0
1703523633020,0
1703523633040,0
1703523633060,0
1703523633080,0
1703523633100,0
1703523633120,0
1703523633140,0
1703523633160,0
1703523633180,0
1703523633200,0
1703523633220,0
1703523633240,0
1703523633260,0
1703523633280,0
1703523633300,0
1703523633320,0
1703523633340,23
1703523633360,5
1703523633380,10
1703523633400,21
1703523633420,32
1703523633440,35
1703523633460,44
1703523633480,155
1703523633500,51
1703523633520,2391
1703523633540,29
1703523633560,54
1703523633580,93
1703523633600,115
1703523633620,130
1703523633640,137
1703523633660,112
1703523633680,112
1703523633700,145
1703523633720,849
1703523633740,193
1703523633760,267
1703523633780,223
1703523633800,209
1703523633820,221
1703523633840,448
1703523633860,379
1703523633880,461
1703523633900,510
1703523633920,390
1703523633940,601
1703523633960,768
1703523633980,774
1703523634000,725
1703523634020,835
1703523634040,898
1703523634060,835
1703523634080,715
1703523634100,762
1703523634120,801
1703523634140,1373
1703523634160,1298
1703523634180,1310
1703523634200,1241
1703523634220,1254
1703523634240,1657
1703523634260,1587
1703523634280,1681
1703523634300,1500
1703523634320,2132
