TIME,VALUE
1703583243440,2473
1703583243460,2442
1703583243480,2435
1703583243500,2346
1703583243520,2349
1703583243540,2369
1703583243560,2406
1703583243580,2443
1703583243600,2437
1703583243620,2468
1703583243640,2507
1703583243660,2515
1703583243680,2495
1703583243700,2467
1703583243720,2459
1703583243740,2445
1703583243760,2433
1703583243780,2448
1703583243800,2415
1703583243820,2426
1703583243840,2443
1703583243860,2413
1703583243880,2399
1703583243900,2415
1703583243920,2445
1703583243940,2496
1703583243960,2512
1703583243980,2489
1703583244000,2487
1703583244020,2461
1703583244040,2433
1703583244060,2443
1703583244080,2417
1703583244100,2395
1703583244120,2411
1703583244140,2391
1703583244160,2371
1703583244180,2400
1703583244200,2419
1703583244220,2419
1703583244240,2432
1703583244260,2435
1703583244280,2422
1703583244300,2401
1703583244320,2405
1703583244340,2420
1703583244360,2385
1703583244380,2386
1703583244400,2405
1703583244420,2394
