TIME,VALUE
1702912893132,2187
1702912893132,2187
1702912893142,2187
1702912893142,2192
1702912893152,2186
1702912893162,2191
1702912893162,2189
1702912893172,2187
1702912893172,2187
1702912893182,2187
1702912893182,2189
1702912893192,2187
1702912893202,2187
1702912893202,2191
1702912893212,2189
1702912893212,2186
1702912893222,2189
1702912893222,2188
1702912893232,2190
1702912893242,2187
1702912893242,2179
1702912893252,2191
1702912893252,2189
1702912893262,2191
1702912893272,2191
1702912893272,2189
1702912893282,2187
1702912893282,2189
1702912893292,2190
1702912893292,2190
1702912893302,2192
1702912893312,2190
1702912893312,2189
1702912893322,2191
1702912893322,2189
1702912893332,2189
1702912893342,2186
1702912893342,2191
1702912893352,2192
1702912893352,2189
1702912893362,2192
1702912893362,2189
1702912893372,2188
1702912893382,2187
1702912893382,2185
1702912893392,2192
1702912893392,2187
1702912893402,2187
1702912893412,2191
1702912893412,2190
1702912893422,2189
1702912893422,2189
1702912893432,2189
1702912893432,2186
1702912893452,2176
1702912893452,2177
1702912893462,2194
1702912893462,2179
1702912893472,2178
1702912893482,2179
1702912893492,2176
1702912893502,2182
1702912893502,2177
1702912893512,2179
1702912893512,2165
1702912893532,2179
1702912893542,2180
1702912893562,2179
1702912893572,2182
1702912893582,2191
1702912893592,2190
1702912893612,2189
1702912893622,2173
1702912893632,2174
1702912893642,2179
1702912893652,2163
1702912893662,2174
1702912893672,2180
1702912893672,2175
1702912893682,2176
1702912893682,2176
1702912893692,2181
1702912893702,2179
1702912893702,2173
1702912893712,2185
1702912893712,2186
1702912893722,2183
1702912893722,2181
1702912893732,2175
1702912893742,2181
1702912893752,2179
1702912893752,2179
1702912893762,2189
1702912893772,2177
1702912893772,2177
1702912893782,2180
1702912893782,2178
1702912893792,2179
1702912893792,2176
1702912893802,2179
1702912893812,2179
1702912893812,2177
1702912893822,2192
1702912893822,2192
1702912893832,2191
1702912893842,2189
1702912893842,2191
1702912893852,2187
1702912893852,2159
1702912893862,2191
1702912893862,2187
1702912893872,2191
1702912893882,2187
1702912893882,2192
1702912893892,2189
1702912893892,2187
1702912893902,2187
1702912893912,2191
1702912893912,2188
1702912893922,2187
1702912893922,2187
1702912893932,2191
1702912893932,2190
1702912893942,2164
1702912893952,2187
1702912893952,2188
